CELL ID,PORTADORAS,CAPACIDAD DEL MEDIO DE Tx (Kbps),CODIGO DE LA ANTENA,AZIMUTH DE LA ANTENA,GANANCIA DE LA ANTENA [dBi],ALTURA BASE-ANTENA [m]
7331518,1,100000,191,10,15.75,11.5
7331518,1,100000,191,10,18.1,11.5
7331519,1,100000,190,110,14,13.3
7331519,1,100000,190,110,16.8,13.3
7331520,1,100000,189,210,15.75,13.6
7331520,1,100000,189,210,18.1,13.6
30638,1,30000,391,350,15.75,10.5
30638,1,30000,391,350,18.1,10.5
31638,1,30000,392,50,14,12
31638,1,30000,392,50,16.8,12
32638,1,30000,393,210,15.75,12
32638,1,30000,393,210,18.1,12
37638,1,30000,391,350,15.75,10.5
37638,1,30000,391,350,18.1,10.5
38638,1,30000,392,50,14,12
38638,1,30000,392,50,16.8,12
39638,1,30000,393,210,15.75,12
39638,1,30000,393,210,18.1,12
16779,1,3520,361,0,15.75,52.5
16779,1,3520,361,0,18.1,52.5
17779,1,3520,362,85,15.75,52.5
17779,1,3520,362,85,18.1,52.5
18779,1,3520,363,170,15.75,52.5
18779,1,3520,363,170,18.1,52.5
34424,1,30000,454,50,16.9,25.5
34424,1,30000,454,50,18.1,25.5
35424,1,30000,455,180,16.9,27
35424,1,30000,455,180,18.1,27
7276734,1,100000,142,90,17.9,29
7276735,1,100000,143,170,17.9,29
30424,1,30000,454,50,16.9,25.5
30424,1,30000,454,50,18.1,25.5
31424,1,30000,455,180,16.9,27
31424,1,30000,455,180,18.1,27
37424,1,30000,454,50,16.9,25.5
37424,1,30000,454,50,18.1,25.5
38424,1,30000,455,180,16.9,27
38424,1,30000,455,180,18.1,27
30932,1,30000,33,0,3,3
31932,1,30000,397,0,3,3
37932,1,30000,33,0,3,3
38932,1,30000,397,0,3,3
36834,1,30000,100,260,16.9,12
36834,1,30000,100,260,18.1,12
34834,1,30000,98,35,16.9,12
34834,1,30000,98,35,18.1,12
35834,1,30000,99,200,16.9,12
35834,1,30000,99,200,18.1,12
7381694,1,100000,202,40,17.9,12
7381695,1,100000,201,200,17.9,12
7381696,1,100000,203,280,17.9,12
30834,1,30000,98,35,16.9,12
30834,1,30000,98,35,18.1,12
31834,1,30000,99,200,16.9,12
31834,1,30000,99,200,18.1,12
32834,1,30000,100,260,16.9,12
32834,1,30000,100,260,18.1,12
37834,1,30000,98,35,16.9,12
37834,1,30000,98,35,18.1,12
38834,1,30000,99,200,16.9,12
38834,1,30000,99,200,18.1,12
39834,1,30000,100,260,16.9,12
39834,1,30000,100,260,18.1,12
7231936,1,100000,25,200,17.9,11.7
7231934,1,100000,24,320,17.9,11.7
30249,1,30000,259,320,16.25,11.5
31249,1,30000,260,210,16.25,11.5
37249,1,30000,259,320,16.25,11.5
38249,1,30000,260,210,16.25,11.5
35600,1,30000,461,260,16.25,12
34600,1,30000,460,0,16.25,12
31600,1,30000,461,260,16.25,12
30600,1,30000,460,0,16.25,12
38600,1,30000,461,260,16.25,12
37600,1,30000,460,0,16.25,12
34095,1,50000,247,350,16.25,17
35095,1,50000,248,145,16.25,17
36095,1,50000,249,270,16.25,18
7192510,1,100000,239,340,15.75,19
7192510,1,100000,239,340,18.1,19
7192511,1,100000,237,100,15.75,19
7192511,1,100000,237,100,18.1,19
7192512,1,100000,238,240,15.75,19
7192512,1,100000,238,240,18.1,19
28095,1,50000,248,145,16.25,17
29095,1,50000,249,270,16.25,18
27095,1,50000,247,350,16.25,17
30095,1,50000,247,350,16.25,17
31095,1,50000,248,145,16.25,17
32095,1,50000,249,270,16.25,18
37095,1,50000,247,350,16.25,17
38095,1,50000,248,145,16.25,17
39095,1,50000,249,270,16.25,18
5722624,1,23.3,55,345,17.9,14
5722625,1,34.2,54,90,17.9,14
5722626,1,232.2,56,230,17.9,14
40354,1,30000,64,0,15.75,14
40354,1,30000,64,0,18.1,14
